["'s", -0.38969280458143146]

['consequentialism', -0.35266278793566763]

['rule', -0.3489089152342905]

['jones', -0.34011578159176636]

['experienced', -0.3233424341994149]

['\\xe2\\x80\\x94', -0.31960342813013226]

['nora', -0.3192689397545439]

['mental', -0.30675929445409883]

['pbc', -0.2895216543186569]

['global consequentialism', -0.28709459880954624]

['code', -0.28043684650543826]

['accident', -0.28041321661674257]

['pleasure', -0.27713489523068385]

['contribution', -0.2770657806877996]

['ideal', -0.27328810400230213]

['utilitarian', -0.2573116778420471]

['best', -0.25397539426579585]

['child', -0.25251421570608584]

['the ideal', -0.2473297610356516]

['job', -0.23786994079920337]

['global', -0.23725321574704566]

['option range', -0.23662579390318908]

['experienced harm', -0.2360254987289895]

['reproductive', -0.23574185001666179]

['letting die', -0.23481334682347452]

['of war', -0.22512845535506573]

['pain', -0.22464388894367704]

['consequence', -0.22226975582936967]

['mental illness', -0.2219010834123533]

['illness', -0.21126232366204026]

['law', -0.21036678106959697]

['difference', -0.2095276784555724]

['never', -0.20797997166903454]

['level', -0.2061622442063836]

['ideal code', -0.20422927635694946]

['murder', -0.19918121822416518]

['cousin', -0.19396815909382367]

['existed', -0.18874532978145162]

['worse than', -0.18821881348891722]

['impact', -0.18807220903590513]

['than letting', -0.18551484277980168]

['worse than letting', -0.18499578699883626]

['wellbeing', -0.18303270735457744]

['involuntary', -0.18222901666127483]

['the best', -0.18136920726031472]

['in accident', -0.1805538059033266]

['killing is', -0.1784884487879107]

['reproduction', -0.17742860985157263]

['better', -0.17618767435062757]

['the ideal code', -0.17592602454624864]

['carbon', -0.1719250364979312]

['applied', -0.17084710678667486]

['stepwise', -0.17065184178747997]

['letting', -0.170428256417417]

['worse', -0.1699959273633675]

['content', -0.1690670884683023]

['is worse', -0.16901317954200987]

['at all', -0.16667851991632635]

['than letting die', -0.16594990382601227]

['the impact', -0.164890442008851]

[') , -0.16443962645331414]

['is worse than', -0.1631139884439125]

['generation', -0.16277742763095404]

['no stepwise', -0.16261679618330285]

['stepwise harm', -0.16259382107032264]

['the morality', -0.1620568412608692]

['that killing', -0.16159552462515556]

['disorder', -0.1609886975931277]

['consequentialist', -0.15801331623705253]

['set of', -0.15767254209727488]

['freedom', -0.15649051535586]

['industry', -0.1547984167672246]

['no stepwise harm', -0.15455877546614552]

['level of', -0.15263788504705625]

['alternative', -0.1518834820669578]

['range', -0.15153916087195043]

['the job', -0.1507134035217774]

['bnb', -0.15058536885275808]

['commitment', -0.15024740577180307]

['country', -0.1502056895880885]

['many', -0.14985664415880268]

['in philosophy (', -0.14937587877811145]

['in study in', -0.14937587877811145]

['philosophy ( 2014', -0.14937587877811145]

['study in', -0.14937587877811145]

['study in philosophy', -0.14937587877811145]

['that killing is', -0.1489162487559908]

['disease', -0.14785984534561786]

['simply', -0.14769935547275795]

['individual', -0.14260488360545687]

['best consequence', -0.14234226368644382]

['cause even', -0.14153265942087348]

['to cause even', -0.14153265942087348]

['relation', -0.1414879150693745]

[". '", -0.140571042548904]

['a sleepless', -0.140571042548904]

['a sleepless night', -0.140571042548904]

['ackers', -0.140571042548904]

['ackers have', -0.140571042548904]

['ackers have no', -0.140571042548904]

['duty', 0.7479079979052838]

['theory', 0.5526846341574536]

['her', 0.43718161983982484]

['citizenship', 0.41538709265444695]

['permissible', 0.38877100279086096]

['she', 0.36434945662083185]

['moral', 0.3569838273140601]

['body', 0.32411139617901835]

['omission', 0.3215433488673147]

['wild', 0.3167588964388203]

['emotion', 0.313956751220721]

["march '", 0.2891543174836761]

["university march '", 0.2891543174836761]

['by new', 0.2852968431865983]

['by new university', 0.2852968431865983]

['option set', 0.2813940119740789]

['account', 0.28106298594150175]

['new university march', 0.2785334551886198]

['university march', 0.2785334551886198]

['woman', 0.2777263550376357]

['thomson', 0.2768997992194225]

['option', 0.27589912453472143]

['harm', 0.27539591285292087]

['duty to', 0.2703746040520999]

['pregnant', 0.2655706259913377]

['<', 0.2614100265238276]

['uncertainty', 0.2605092190250239]

['associative', 0.25794478778705693]

['you', 0.25593577070831675]

['deontological', 0.25011427556355426]

['car', 0.24913224415993432]

['to protect', 0.247163242510355]

['samaritan', 0.23891827898278886]

['arrangement', 0.2356029267262657]

['consent', 0.2355544112837143]

['benefit', 0.23014716358896634]

['save', 0.22713530324573505]

['associative duty', 0.2262518535169181]

['protect', 0.22584046778836922]

['optional', 0.22420859705127252]

['wild animal', 0.22100734391213486]

['foreseeing', 0.21919960340803524]

['to save', 0.21846262262422858]

['good samaritan', 0.21778469903495326]

['scenario', 0.21717041752136954]

['id', 0.21424168050481346]

['id .', 0.21424168050481346]

['moral uncertainty', 0.21354915967760504]

['relationship', 0.21076705891332545]

['value', 0.21065457407252935]

['kill', 0.20902292219027113]

['donaldson', 0.20385127607035675]

['id . at', 0.20368790991982397]

['of moral', 0.1973237317881677]

['kymlicka', 0.19725226865804887]

['impermissible', 0.19646257333608438]

['good samaritan argument', 0.19411316755191788]

['samaritan argument', 0.19411316755191788]

['the harm', 0.193419715329292]

['deterrence', 0.19228484309121605]

['noncombatant', 0.18934972191206412]

['morally', 0.18908069316542114]

['your', 0.18732929992788844]

['were', 0.18400449197780216]

['cost', 0.18395160325493595]

['pregnancy', 0.1838616176801991]

['the good samaritan', 0.18329195080579813]

[', 0.17858171315637156]

['domesticated', 0.17852510348344597]

['human', 0.17748266751665562]

['sovereign', 0.17724090493268294]

['=', 0.1766811392797204]

['judgment', 0.1755363931650414]

['retributivism', 0.17283069626933123]

['good', 0.171766873180459]

['moral-belief-relative', 0.17063789828512002]

['optional but', 0.1697924768178666]

['( e.g.', 0.16573361450214866]

['( e.g. , 0.16573361450214866]

['a a', 0.16510022495525634]

['supra', 0.16501907874504818]

['supra note', 0.16501907874504818]

['duty to protect', 0.16361053480222582]

['causal', 0.16263368715304014]

['trade-off', 0.16054453591313017]

['desert', 0.15981535740004538]

['car push', 0.15908761143855663]

['a mean', 0.15859792276192589]

['sue', 0.15744044896703333]

['contractualism', 0.15735883581366686]

['result', 0.15689976190081506]

['jill', 0.15588316068480176]

['negative', 0.1540105420037494]

[', 0.1539775839698796]

['to use', 0.1533235520588778]

['a a result', 0.1524413505090128]

['score', 0.15182903980659163]

['prisoner', 0.15159988559345094]

['threshold', 0.15060907739459348]

['the good', 0.14947608727788636]
